עיתונות; צַחַאפֵה صحافة
תיקון; תַצְלִיח تصليح
רפואה; טִבּّ طبّ
שָׁטִיחַ; סֻגַّ׳אדֵה سُجَّادِة 
נִיסָּיוֹן, מְיוּמָּנוּת (בתחום מסויים); חִ׳בְּרַה خِبْرَة
ארכיאולוגיה; עִלְם אֵלְ-אַאתַ׳אר علم الآثار
תייר; סַאיֵח سايح
מָסוֹרֶת; תַקְלִיד تَقْلِيد
שריר; עַצַ׳לֵה عضلة
מדע; עִלְם عِلْم
רבים, ריבוי (בדקדוק); גַ׳מְע جَمْع
קוּמְקוּם; עַ׳לַّאיֵה غلّاية
שומרון (אזור גיאוגרפי); אֵ(ל)סַّאמְרַה السّامرة
מָסַךְ; שַאשֵה شَاشِة
עַקְרָב; עַקְרַבּ عَقْرَب
אפליקציה, יישום; תַטְבִּיק تطبيق
הצבעה (בבחירות); תַצְוִית تَصْوِيت
אתאיסט; מֻלְחֵד ملحد
עַכָּבִישׁ; עַנְכַּבּוּת  عَنْكَبُوت
חִיטָּה; קַמְח قَمْح
צאן; עַ׳נַם غنم
הִתְנַחְלוּת; מֻסְתַוְטַנֵה مُسْتَوْطَنِة
ניקוד; תַשְכִּיל تشكيل
תאור; וַצֵף وصف
חדר מיון (בבית חולים); עֻ׳רְפֵת אִ(ל)טַّוַארֵאְ غُرْفِة الطَّوَارِئ
קוּפָּה (בחנות); צַנְדוּק صندوق 
מישור; סַהְל سهل
כינור; כַּמַנְגַ׳ה كمنجة
הזדמנות; מֻנַאסַבֵּה مناسبة
מידע; מַעְלוּמַאת معلومات
רוקח; צַיְדַלִי صيدلي
זֶרֶם; מַגְ׳רַא مَجْرَا
פסנתר; בְּיַאנוֹ بيانو
קצף; רַעְ׳וֵה رغوة
כיור (מטבח); מַגְ׳לַא مجلى
פּוֹעַל; פִעֵל فعل
כּרוֹז, מנשר, פּוֹסט; מַנְשוּר منشور
תקשורת; אִעְלַאם اعلام
הפסקת אש; וַקף אִטלַאק (אל)-נַّאר وقف اطلاق النّار
מִבְטָא, לַהַג; לַכְּנֵה لكنة
הריון; חַמְל حَمْل
ביטוי, צירוף לשון; עִבַּארַה عِبَارَة
צְדָקָה (עזרה כספית או חומרית לזולת); צַדַקַה صَدَقَة
חצוצרה; בּוּק بوق
חָלִיל (כלי נגינה); שֻבַּّאבֵּה شُبَّابِة
שיתוף; מֻשַארַכֵּה مشاركة
שדרן, קריין; מֻדִ׳יע مذيع
כתב עת, מגזין; מַגַ׳לֵّה مجلّة
מצווה; פַרִיצַ׳ה فريضة 
מוח; מֻחّ׳ مخّ
אופנוע; דַרַّאגֵ׳ה נַארִיֵّה درّاجة ناريّة
העדיף; פַצַّ׳ל فضّل 
היסטוריה; תַארִיח׳ تاريخ
שוֹרֶש (בדקדוק); גַ׳דְ׳ר جِذْر
רָמָה; מֻסְתַוַא مستوى
דיאלוג, דו-שיח; חִוַאר حِوَار
שיוויון; מֻסַאוַאה مساواة
תפקיד; דוֹר دور
תואר; לַקַבּ لقب
פרסומת; דִעַאיֵה دعاية
מתכון (להכנת מאכל); וַצְפֵה وَصْفِة
עַצְמָאוּת; אִסְתִקְלַאל إِسْتِقْلَال
משאית; שַאחְנֵה شاحنة 
סַקְרָנוּת; פֻצ׳וּל فُضُول
טבלה; לַוְחַה لوحة
מִרְפֶּסֶת; בַּרַנְדַה بَرَنْدَة
שיבולת שועל; שוּפַאן شُوفَان
מעלית; מַצְעַד مَصْعَد
מסטיק; עִלְכֵּה علكة
שרוך, שרוכים (של נעל); רַבַּّאט ربّاط 
שירותים (רבים של שירות); חִ׳דְמַאת خدمات
הֶקְשֵׁר, קונטקסט; סִיַאק سِيَاق
מספר, כמות; עַדַד عدد
גיל ההתבגרות; גִ׳יל אֵלְמֻרַאהַקַה جيل المراهقة
חליפה; בַּדְלֵה بدلة
אֵנֶרְגְּיָה; טַאקַה طَاقَة
נסיבּות; טֻ׳רוּף ظروف
קישור, לינק; רַאבֵּט رابط
הצגה, תצוגה, מופע; עַרְצ׳ عرض
רעידת אדמה; זִלְזַאל زلزال
תכשיט, אבן חן; גַ׳וְהַר جوهر
רפובליקה; גֻ׳מְהוּרִיֵّה جمهوريّة
צבים; סַלַאחֵף سلاحف
מקורות; מַצַאדֵר مصادر
אסטרולוגיה; תַנְגִ׳ים تنجيم
יֶשוּעַה; פַרַג׳ فرج
טלה, גדי; סַחְ׳לֵה سخلة 
רֶגֶש; אִחְסַאס إِحْسَاس
עקור; מְהָגֶّר مهجّر
חילוקי דעות; אִחְ׳תִלַאף اختلاف
שפה זרה; לֻעַ׳ה אַגְ׳נַבִּיֵّה لغة اجنبيّة
סוכריה; מְלַבַּّסֶה ملبّسة
הֲסָתָה; תַחְרִיץ׳ تَحْرِيض
עַרְבוּת; כַּפַאלֵה كَفَالِة
שם עצם; אִסְם إسم
כֵּנוּת; צַרַאחַה صَراحَة
מרכז קהילתי, מתנס; מַרְכַּז גַ׳מַאהִירִי مركز جماهيري
גבר גבר; גַדַע جدع
סבלנות; טוּלֵת בַּאל طولة بال
בילוי; סַהְרַה سهرة
מנומנם, ישנוני, רוצה לישון; נַעְסַאן نَعْسَان
מבול; טוּפַאן طُوفَان
צנזורה; מֻרַאקַבֵּה  مراقبة
עוּבָּר;  גַ׳נִין  جنين
מטרה, כוונה; עַ׳איֵה غاية
צעד; חֻ׳טְוֵה خطوة
אנטישמיות; לַא סַאמִיֵّה لا ساميّة
עֲלֵי גֶּפֶן; וַרַק דַוַאלִי وَرَق دَوَالِي 
אֶפְרוֹחַ; צוּץ صُوص 
חופים; שַוַאטִי شواطي 
מצבים; אַחְוַאל أحوال
מַאֲפִיָּיה (חנות או מפעל של לחם ומאפים); מַחְ׳בַּז مَخْبَز
מַסּוֹר; מֻנְשַאר مُنْشَار 
מועמד, מתמודד; מְרַשַّח مْرَشَّح
אבנים; חְגַ׳אר حجار
עידכון; תַחְדִית׳ تحديث 
דו״ח (חנייה); מֻחַ׳אלַפֵה مخالفة
תחנת דלק; מַחַטַّת בַּנְזִין محطّة بنزين
עובד סוציאלי; עַאמֵל אִגְ׳תִמַאעִי عامل اجتماعي
פירוש, הסבר; תַפְסִיר تفسير
שעבאן, החודש השמיני (בלוח המוסלמי); שַעְבַּאן شعبان
ינואר; יַנַאיֵר يناير
שיפוץ, שיפוצים; תַגְ׳דִיד  تجديد
הצעה; אִקְתִרַאח إقتراح
התחייבות; אִלְתִזַאם التزام
גָּלָקְסְיָה; מַגַ׳רַّה مَجَرَّة
היקום, העולם, הקיום; אִלְכַּוְן الْكَوْن
זָקָן (שיער פנים); לִחְיֵה لِحْيِة 
כִּיוּוּן; אִתִّגַ׳אה إِتِّجَاه
כְּלֵי נְגִינָה; אַאלַאת מוּסִיקִיֵّה  آلات موسيقيّة
צ׳לו; תְשֵילוֹ تشيلو
מקצוע (עבודה); מִהְנֵה مهنة 
חינוך מיוחד; תַרְבִּיֵה חַ׳אצַّה تربية خاصّة
מצנח; מִטַ׳לַّה مظلّة
גרעיני (בפיזיקה); נַוַוִי نووي
צוֹעֲנִי; עַ׳גַ׳רִי غَجَرِي
אכזבה; חֵ׳יבֵּת אַמַל خيبة أمل
נִיסּוּי, בְּדִיקָה; תַגְ׳רִבֵּה تجربة
בית אבות; דַאר מֻסִנִّין دار مسنين
שִיחְרוּר (מהצבא); תַסְרִיח تَسْرِيح
אִישּׁוּר; תַצְרִיח تَصْرِيح
קבלן; מְקַאוֵל مقاول
חָרוּז (אביזר קישוט); חַ׳רְזֵה خرزة 
הגנה; חִמַאיֵה حِمَايِة
חגיגה, מסיבה; אִחְתִפַאל اِحتفال
ביטוי; תַעְבִּיר تعبير
הפגנה; מֻטַ׳אהַרַה مُظَاهَرَة
אַלְמָנָה; אַרְמַלֵה أَرْمَلِة
זִיכָּרוֹן, זֵכֶר (הנצחה); דִ׳כְּרַא ذِكْرَى
פולין; בּוֹלַנְדַא بولندا
צַלֶּקֶת (סימן קבוע של פצע שהגליד); נַדַבֵּה نَدَبِة
קבלה, קבלת פנים; אִסְתִקְבַּאל إستقبال
עוֹר; בַּשְרַה بَشَرَة
זְרִיקָה (החדרת חומר במזרק); אִבְּרֵה إِبْرِة
דַּלֶּקֶת; אִלְתִהַאבּ إِلْتِهَاب
דִּימְיוֹן (היעדר שוני); תַשַאבּ‏ֹה تَشَابُه
סְטִירָה; לַטְמֵה لَطْمِة
שיקום, שיפוץ (מבנים); תַרְמִים تَرْمِيم
סֶמֶל; רַמְז رَمْز
עוֹדֶף (בכסף); פַכַּّה فَكَّة
מרווה (צמח); מַרַמִיֵّה مَرَمِيِّة
נְקֵבָה; אֻנְתַ׳א أُنْثَى
יעילות; נַגַ׳אעַה نَجَاعَة
כדורעף; כֻּרַת אֵ(ל)טַّאאִרַה كرة الطّائرة
הֶסְגֵּר (רפואי); חַגְ׳ר צִחִّי حجر صحّي
בידוד; עַזְל عزل
קוֹמוֹת; טָוָאבֶּק طوابق
הַזְמָנָה טרם נבדק; עַזִימֶה عزيمة
זריחה; שֻרֻק شرق
גֶּפֶן; דַאלְיֵה دالية
פְּרָטִי; חֻ׳צוּצִי خُصُوصِي 
עופרת; רְצַאץ رصَاص
ריפוי בעיסוק; עִלַאג׳ וַטִ׳יפִי علاج وظيفي
עמדות, השקפות; מַוַאקֵף مواقف
אכיפה (הוצאה אל הפּועַל (חוק\תקנה)); תַטְבִּיק تطبيق
מוח, שכל; דִמַאע׳ دماغ
סֶגֶר (מניעת חופש תנועה); אִעְ׳לַאק إغلاق
מזל, גורל; נַצִיבּ نصيب
מַרְאֶה (משהו שרואים); מַשְהַד مشهد
חשבונית; פַאתוּרַה فاتورة
מַשְׁכַּנְתָּא (הלוואה); קַרְץ׳ قرض 
