מַחְשֵׁב; כַּמְבְּיוּתֵר كمبيوتر
במקום; בַּדַל بدل
בערך (לפני המילה); חַוַאלִי حوالي
גם, גם כן; בַּרְצ׳וֹ بَرْضُو
סוף; אַאחֵ׳ר آخر
תקופה; מֻדֵّה مُدِّة
מיוחד; חֻ׳צוּצִי خصوصي
לַמְרוֹת שֶ-, אֲפִילוּ שֶ-; בִּ(אל)רַّעְ׳ם מִן אִנّוֹ  بالرغم من إنّه
חוץ מ...; עֵ׳יר غير
בדרך-כלל; עַאדַתַן عادةً 
עדיין, עדיין לא; לִסַה لسّة
אגב, דרך אגב; עַלַא פִכְּרַה عَلَى فِكْرَة
חס וחלילה; מַא סַמַח אַללַّה ما سمح الله
יחד, ביחד; סַוַא سوا
אֲבַל (מילת קישור); אַמַّא أمّا 
במיוחד; חֻ׳צוּצַן خُصُوصًا
אֲפִילוּ; חַתַّא حتّى
עכשיו, כעת; חַאלִיַّן حاليًّا
לא יתכן, בלתי אפשרי; מֻסְתַחִיל مستحيل
רק, בלבד; פַקַט فقط
כל כך; הַל-קַדّ هلقدّ
בכל זאת; בַּרְצ׳וּ برضو
אף פעם; אַבַּדַן ابدًا
בקיצור; חַצְלו حصلو
כִּמְעַט; תַקְרִיבַּן تقريبًا
בנתיים, לעת עתה; חַאלִיַّן حَالِيًّا
עד ש; עַ-בֵּין מַא عبين ما
אותו הדבר; נַפְס אֵ(ל)שִّי نفس الشي
עַד ש-; חַתַّא حَتَّى
למרות; רַעְ׳ם رغم
בכלל; שִילי בִּילִי شيلي بيلي
מרחוק, מהבית (עבודה או לימודים דרך האינטרנט); עַן בֻּעְד عن بعد
בכל אופן, על כל פנים; עַלַא כֻּלﬞ חַאל على كلّ حال
או; אַַו او
לפני ש...; קַבְּל מַא قبل ما
אחרי ש...; בַּעְד מַא بعد ما
כַּאֲשֶׁר, כְּשֶ-; לַמַّא لَمَّا
אִם (מילת תנאי); אִדַ׳א إِذَا
גם, עוד; כַּמַאן كَمَان
או (בהשוואה); וִלַّא ولّا
לכן; עַשַאן הֵיכּ عشان هيك
כי, מפני ש, משום ש; לַאִנّוֹ لانّو
כְּלוֹמַר; יַעְנִי يَعْنِي
לו, אילו; לַו لو
כְּדֵי, כְּדֵי ש-; חַתַّא حَتَّى
וְ- (ו׳ החיבור); וּ- و-
אֵצֶל; עִנְד عند
עִם, בְּעַד; מַע مَع
אחרי; בַּעְד بعد
על, אודות; עַן عَن
ליד; גַ׳נְבּ جنب
על; עַלַא  على
עַד; לַחַדّ لحدّ 
לפני; קַבְּל قبل
חיפש את; דַוַّר עַלַא دوّر على
זָהָב (מתכת); דַ׳הַבּ ذَهَب
נכון; צַחّ صحّ
עֲבוֹדָה (עיסוק או מקום); שֻעְ׳ל شُغْل
הרבה; כְּתִיר كْثِير
כל הכבוד, יישר כוח; יַעְטִיכּ אִלְעַאפְיֵה يعطيك العافية
קָפֶה; קַהְוֵה قَهْوِة
זוכר; זַאכֵּר ذاكر
צָהֳרַיִים; טֻ׳הְר ظهر
מַיִם; מַיֵّה مَيِّة
התגעגע; אִשְתַאק إِشْتَاق
קופסא; עִלְבֵּה عِلْبِة
הוֹדוּ (מדינה); אִלְהִנְד الْهِنْد
שִׂיחָה; מֻחַאדַתֵ׳ה مُحَادَثِة
מוּזִיקָה; מוּסִיקַא مُوسِيقَى
קוֹקוּס; ג׳וֹז אִלְהִנְד جُوز الْهِنْد
לפתוח (הוא), שיפתח; יִפְתַח يفتح
תּוֹר; דוֹר دُور
השתלמות; אִסְתִכְּמַאל إستكمال
סוג; צֵנְף صَنْف
אמצע; וַסַט وَسَط
מְיוּחַד, יחודי; חַ׳אץّ خاصّ
ממונה, אחראי; מַסְאוּל مسؤول
מתכון (להכנת מאכל); וַצְפֵה وَصْفِة
גֵּאֶה; פַח׳וּר فَخُور
גַּאֲוָוה; פַחֵ׳ר فخر
דו״ח (חנייה); מֻחַ׳אלַפֵה مخالفة
השוואה; מֻקַארַנֵה مقارنة
כּוֹעֵס (בלהגים מסוימים); טַפְרַאן طَفْرَان
שִׁגְרָה טרם נבדק; רוּתִין روتين
חוּקִי; קַאנוּנִי قانوني
בּוּטַל; אִלְתַעַ׳א الْتَغى
בִּיטֵּל; לַעַ׳א لَغى
מִתְגַּעְגֵּעַ; מִשְתַאק مِشتاق
שֶׁבַע, 7; סַבְּעַה سبعة
תשע, 9; תִסְעַה تسعة
עשר, 10; עַשַרַה عشرة
יוֹם שַׁבָּת, שַׁבָּת; יוֹם אִ(ל)סַّבֵּת يوم السّبت
שָׁלוֹם (היעדר סכסוך, אי-לוחמה); סַלַאם سلام
יער; עַ׳אבֵּה غابة 
סֵירֵב, דָּחָה (לא קיבל); רַפַץ׳ رَفَض
שֵׁירוּת (תפקיד או מעשה הנועד לשרת ציבור); חִ׳דְמֵה خدمة
בוֹץ (חומר); וַחְל وَحْل
תקציב, מאזן; מִיזַאנִיֵّה ميزانيّة
משכורת; רַאתֵבּ راتب
סִידֵּר; רַתַّבּ رَتَّب
אוֹפּוֹזִיצְיָה, הִתְנַגְּדוּת; מֻעַארַצַ׳ה مُعَارَضَة
קבע, תחם, הגביל; חַדַّד حدّد
גן ילדים, גן; רַוְצַ׳ה روضة 
מַעֲבָּדָה; מֻחְ׳תַבַּר مُخْتَبَر
טוֹרֵף (חיית טרף); מֻפְתַרֵס مُفْتَرِس
תודעה; וַעִי وعي 
סוד; סִרّ سرّ
כתם; בֻּקְעַה بقعة 
עֵרֶךְ; קִימֵה قِيمِة
תּוֹכְנִית (של בית או של מבצע); חֻ׳טַّה خُطَّة
מפקח, פקח; מֻפַתֵّש مفتّش
מוכן לעזור; מֻסְתַעִדّ مستعدّ
וִיתֵּר (عن עַן 3an על); אִסְתַעְ׳נַא إستغنى
חשב, החשיב (ל...); אִעְתַבַּר اعتبر
עיקרון; מַבְּדַא مبدا
באופן עקרוני; מַבְּדַאִיַّן مبدئيّاً
תַּנּוּר (חימום); דַפַّאי دَفَّاي
כישורים; מַהַארַאת مهارات
אזרחי; מַדַנִי مدني
אוֹטוֹבִּיוֹגְרַפְיָה, קוֹרוֹת חַיִּים; סִירֵה דַ׳אתִיֵّה سِيرِة ذَاتِيِّة
שירת; חַ׳דַם خدم 
נתונים; מֻעְטַיַאת معطيات
פער; פַגְ׳וֵה فجوة
פָּעִיל, זָרִיז; נַשִיט نَشِيط
פעילות; נַשַאט نشاط
בגרות, בשלות; נֻצ׳וּג׳ نضوج
מוסמך; מֻאַהַّל مؤهّل
אפליקציה, יישום; תַטְבִּיק تطبيق
שחקן (קולנוע, תיאטרון); מֻמַתֵّ׳ל ممثّل
אפליה; תַמְיִיז تمييز 
מַשְׁאַבִּים; מַוַארֵד مَوَارِد
משחה; מַרְהַם مرهم
צָבַע (שיער, חפצים); צַבַּע׳ صَبَغ
קורבן, זבח; צַ׳חִיֵَה ضحيّة
גרעין; נַוַאה نواة
מוּסָר; אַחְ׳לַאק أَخْلَاق
רָמָה; מֻסְתַוַא مستوى
מפוטר; מַפְצוּל مفصول
מֶחְקָר; בַּחְת׳ بَحْث 
בָּהִיר; פַאתֵח فَاتِح
כֵּהֶה (לא משמש לצבע עור); עַ׳אמֵק غَامِق
מחקרים; אַבְּחַאת׳ ابحاث
נסיבּות; טֻ׳רוּף ظروف
נאלץ; אִצְ׳טַרّ إضطرّ 
הכשרה; תַאְהִיל تاهيل 
פסיק; פַאצְלֵה فاصلة
קיים, ביצע; נַפַّד׳ نَفَّذ
גיד; שִרֵש شرش
קִיפֵּל; טַוַא طَوَى
בולט; בַּארֵז بارز
מתאים; מֻלַאאֵם ملائم
צנזורה; מֻרַאקַבֵּה  مراقبة
מכון; מַעְהַד معهد 
שיטה, דרך; אֻסְלוּבּ أسلوب
שיטות, דרכים; אַסַאלִיבּ أساليب
נהנה; אִסְתַמְתַע إستمتع 
נִיצֵּל; אִסְתַעַ׳לّ إستغلّ 
הִשְתַדֵּל, הִתְאַמֵּץ; אִגְ׳תַהַד إجتهد
הֵנִיחַ (הניח ש...חשב); פַרַץ׳ فرض
הִשְוָוה; קַארַן قارن
הִתְנַדֵב; תְטַוַّע تطوّع
עָסַק (במשהו); מַארַס مارس 
עצום, גדול מימדים; צַ׳חֵ׳ם ضخم
השיג (משהו); חַצַל حصل
חשב, סבר; טַ׳ןّ ظنّ
הפריע, הציק, הטריד; צַ׳איַק ضَايَق
הוכחה; דַלִיל دليل
הִתְנַצְּלוּת; אִעְתִדַ׳אר إعتذار
שׁוּמָּן, שׁוּמָּנִים; דְהוּן دهون 
בּוֹגֵר, בָּגִיר (לא קטין); בַּאלֵע׳ بالغ
עיכל; הַצַ׳ם هضم
קבלן; מְקַאוֵל مقاول
מינימום, המינימלי; אַדְנַא أَدْنَى
המלצה; תַוְצִיֵה توصية
נֶפַח; חַגְ׳ם حَجْم
נחשב; יֻעְתַבַּר يُعْتَبَر 
התעורר (נהיה עירני); צַחְצַח صَحْصَح
סיבוכים (של מחלה); מֻצַ׳אעַפַאת مُضَاعَفَات
שָׂדוֹת; חֻקוּל حُقُول‎
הצדיק; בַּרַّר برّر
השגחה; מֻרַאקַבֵּה مراقبة
הדגיש, הבליט; אַבְּרַז أَبْرَز
שטוח; מְסַטַّח مسطّح
מִכְשׁוֹל; עָאאֵק عائق
מיומן, מוכשר; מַאהֵר ماهر
איים (על); הַדַّד هدّد
העלאת מוּדָעוּת; תַוְעִיֵה تَوعِيِة
פיזי, גופני; גַ׳סַדִי جسدي
פורנוגרפי; אִבַּאחִי اباحي
שׁוֹנֶה, אחר; עֵ׳יר غير
בן אנוש; אִנְסַאן إنسان
סבא; סִיד سيد
הַלְוַואִי; יַא רֵית يَا رِيت
סִיפּוּר; קֻצַّה قُصَّة
נִהְיָה, הפך ל, קרה; צַאר صَار
אני אוכל ארוחת ערב; בַּתְעַשַّא بتعشّى
היה; כַּאן كان
דגים (שם קיבוצי); סַמַכּ سَمَك
אוֹרֶךְ; טוּל طُول
יָמִים (ריבוי של יום); אַיַّאם أَيَّام
בקירוב, בערך; תַקְרִיבַּן تقريبًا
שַׁם (במקום ההוא, לא כאן); עַ׳אד غَاد
נָשִׁים; נִסְוַאן نِسْوَان
גברים; רְגַ׳אל رْجَال
יֶלֶד; וַלַד وَلَد
כָּאן, פֹּה (במקום הזה); הוֹן هُون
בַּיִת; בֵּית بِيت
שְׁכוּנָה; חַיّ حَيّ
אחר-כך, אחרי זה, חוץ מזה; בַּעְדֵין بعدين
קרא; קַרַא قرا
בֶּאֱמֶת, בִּרְצִינוּת; עַן גַ׳דّ عَن جَدّ
ידוע, מוכר; מַעְרוּף مَعْرُوف
אנשים; נַאס ناس
זמן; חִין حِين
עוֹף (בשר); גַ׳אג׳ جاج
גִּיל; עֻמְר عُمْر
בִּישֵּל; טַבַּח׳ طَبَخ
אוֹהֵב (הוא); בִּיחִבּّ بيحبّ
אִיתִּי; מַעַאי معاي
מבושלת; מַטְבּוּחַ׳ה مطبوخة
בשל!; אֻטְבֻּח׳ أطبخ 
דִּבְּרוּ; חַכּוּ حكوا
שָׁכַחְנוּ; נְסִינַא نسينا
הלך הביתה; רַוַّח رَوَّح
ספרים; כֻּתֻבּ كُتُب
צורך; חַאגֵ׳ה حاجة
רָץ; רַכַּץ׳ رَكَض
היסטוריה; תַארִיח׳ تاريخ
מספר סיפורים; חַכַּוַאתִי حكواتي
בישול; טַבְּח׳ طَبْخ
לפעמים; אַחְיַאנַן أحياناً
מקצוע (עבודה); מִהְנֵה مهنة 
מסביב ל; חַוַאלֵי حوالي
שְמִי (קוראים לי...); אִסְמִי إسمي
הפגנה; מֻטַ׳אהַרַה مُظَاهَرَة
עובד, עובדת (אני); בַּ(א)שְתְעֵ׳ל بشتغل
ביטל; אַבְּטַל أَبطَل
יושב; קַאעֵד قاعد
גְּדוֹלִים; כְּבַּאר كْبَار
שְׁנִיָּיה (יחידת זמן); תַ׳אנְיֵה ثَانْيِة
עיתון; גַ׳רִידֵה جريدة
נקודה; נֻקְטַה نقطة
מצב; וַצְ׳ע وَضْع
מְכוֹעָר; בִּשֵע بشع
אַהֲבָה; חֻבּّ حُبّ
מלוכלך; וִסֵח׳ وسخ
נחש; חַיֵّה حيّة
עודף; בַּאקִי باقي
מוקדם; בַּדְרִי بدري 
מְחִיר; סִעְר سِعْر
טעות; עַ׳לַט غلط
יוֹם (שעות האור); נְהַאר نْهَار
תחנה; מַחַטַّה محطّة
שֶ- (אחרי פועל); אִנّוֹ إنّه
חֶבְרָה (גוף עסקי); שִרְכֵּה شركة
מזל; בַּחְ׳ת بخت
קבוצה; פִרְקַה فرقة
שְׁאֵלָה; סֻאַאל سُؤَال
חֶמְאָה; זִבְּדֵה زِبْدِة
מוכן; גַ׳אהֵז جَاهِز
זול; רְחִ׳יץ رخيص
יקר; עַ׳אלִי غالي
נְמַל תְּעוּפָה, שְׂדֵה תְּעוּפָה; מַטַאר مَطَار
נושא; מַוְצ׳וּע موضوع
טרי (גם ברבים); טַאזַא طازا
ככה; הֵיכּ هيك
חרוץ, פיקח; שַאטֵר شاطر
פֵּירוֹת; פַוַאכֵּהְ فواكه
רע, גרוע; עַאטֵל عَاطِل 
רגיל, כרגיל; עַאדִי عادي
ירקות; חֻ׳צְ׳רַה خضرة 
מקולקל; חַ׳רְבַּאן خربان
יהיה; בִּיכּוּן بيكون
ארוחת בוקר; פְטוּר فطور
ארוחת ערב; עַשַא  عشا
ארוחת צהריים; עַ׳דַא غدا
יַיִן; נְבִּיד׳ نْبِيذ
עצוב; חַזִין حزين
קו; חַ׳טّ خَطّ
כּוֹעֵס; זַעְלַאן زَعْلَان
עָשָׁן; דֻחַّ׳אן دُخَّان
רְצִינִי; גַ׳דִّי جَدِّي
מזג אוויר; טַקְס طقس
סובב, הפנה; דַאר دَار
אִישִׁי, פְּרָטִי; שַחְ׳צִי شَخْصِي
איש; שַחְ׳ץ شخص
אותו ה...; נַפְס نفس
מוּבָן; מַפְהוּם مفهوم
אָרוֹן; חְ׳זַאנֵה خْزَانِة
שַׂר (בממשלה); וַזִיר وَزِير
כָּבוֹד; שַרַף شَرَف
מזרח; שַרְק شرق
צָפוֹן; שַמַאל شَمَال
קשה (לא רך); קַאסִי قاسي
ראיון, פגישה; מֻקַאבַּלֵה مُقَابَلِة
צֶבַע (גוון, לא חומר); לוֹן لُون
מִפְלָגָה; חִזְבּ حِزْب
דָּרוֹם (כיוון); גַ׳נוּבּ جَنُوب
מִיץ; עַצִיר عَصِير
בשביל; מִנְשַאן مِنْشَان
פְּקִידָה (עובדת במשרה משרדית); מֻוַטַّ׳פֵה مُوَظَّفِة
אשר, ש; אִלִّי اللّي
ישן, עתיק; עַתִיק عَتِيق
מְנַהֵל (תפקיד); מֻדִיר مُدِير
ברשותך, להתראות; בְּחַ׳אטְרַכּ بخاطرك
איזה; אַיְ أَي
תרגיל; תַמְרִין تمرين
קָצָר, נָמוּךְ (לבן אדם); קַצִיר قَصِير
רווק; עַזַّאבִּי عَزَّابِي
פַּעַם; מַרַّה مَرَّة
בהצלחה; בִּ(אל)נַّגַ׳אח بالنجاح
אחרון; אַאחֵ׳ר آخر
נָקִי; נְטִ׳יף نظيف 
מוּשְׁלָם; כַּאמֵל كَامِل
גַּרְבַּיִים; כַּלְסַאת كلسات 
דומה; בִּישְבַּה بِيشْبَه
קָנָה, רָכַשׁ; אִשְתַרַא إشترى
הָיִית; כֻּנְתִי كنتي
פטריות; פֻטֻר فطر
נֶהֱדָר, עָצוּם; עַטִ׳ים عَظِيم
מִיָּד; חַאלַן حَالاً
חיוך; צַ׳חְכֵּה ضحكة
אולי; מֻמְכֵּן ممكن
בכלל, לגמרי; בִּ(א)לְמַרַّה بالمرّة
חֲבַל; חַרַאם حَرَام
אגרטל; מַזְהַרִיֵّה مزهريّة
אדם, בן אדם, איש; אִנְסַאן إنسان
מוּל, לִפְנֵי; קֻדַّאם قدّام
יָרֵחַ; קַמַר قَمَر
מקלחת, שירותים; חַמַّאם حَمَّام
אַרְיֵה; אַסַד أَسَد
ישן; קַדִים قديم
עץ דֶּקֶל; נַחְ׳לֵה نخلة
תחנת דלק; מַחַטַّת בַּנְזִין محطّة بنزين
שיר; עִ׳נְוֵה غنوة
מִבְטָא; לַפֵט׳ لفظ
לַהַג, נִיב; לַהְגֵ׳ה لَهْجِة
פקק תנועה, פקקים; אַזְמֵה أزمة
מגבת; מַנְשַׁפֵה منشفة
שעועית; פַאצוּלְיַה فاصوليا
ממולא; מַחְשִי محشي
דֶּרֶך; טַרִיק طَرِيق
יותר; אַכְּתַר أكثر
אופן; שַכֵּל شكل
שׁוּעָל; תַ׳עְלַבּ ثَعْلَب
הַפְסָקָה, מְנוּחָה; אִסְתִרַאחַה إستراحة
כַּלְכָּלָה; אִקְתִצַאד إِقْتِصَاد
משא ומתן; מֻפַאוַצַ׳את مفاوضات
שמלה; פֻסְתַאן فستان
מִרְפָּאָה; עִיַאדֵה عِيَادِة
נְסִיעָה; סַפַר سَفَر
יָזַם (פועל); בַּאדַר بادر
שינוי; תַעְ׳יִיר تغيير
עצבני; עַצַבִּי عصبي
צְבִי; עַ׳זַאל غزال
לחוץ; מַצְ׳ע׳וּט مضغوط
עתיד; מֻסְתַקְבַּל مستقبل
תַּן (בעל חיים); וַאוִי وَاوِي
עִיסְקָה; צַפְקַה صفقة
למשל, לדוגמא; מַתַ׳לַן مثلاً
רַחַב, מרווח, מקיף; וַאסֵע وَاسِع
שטויות, לא נורא, בקטנה; בַּסִיטַה بَسِيطَة
מוֹכֵר (אדם שמוכר); בַּיַّאע بَيَّاع
אפשרי; בִּינְפַע بينفع
מהיר; סַרִיע سريع
ביטוי, מושג; מֻצְטַלַח مصطلح
עורך דין; מֻחַאמִי مُحَامِي
סִדְרָה (בטלויזיה); מֻסַלְסַל مُسَلْسَل
שָׁלָב; מַרְחַלֵה مَرْحَلِة
מוּזֵיאוֹן; מַתְחַף مَتْحَف
פח; תַנַכּ تنك 
פתגם; מַתַ׳ל مثل
בֵּיצָה; בֵּיצַ׳ה بِيضَة 
יָרְדָה; נִזְלַת نزلت
אתמול; אֵמְבַּארֵח إمبارح
שָׁכַח; נִסִי نسي
מַטְעֵן (לטלפון נייד); שַאחֵן شَاحِن 
רשע, רע; לַאִים لئيم
